date,event,time
1/13/17,Edit WiFi,12.6
1/14/17,Edit WiFi,10.3
1/15/17,Edit WiFi,10.5
1/16/17,Edit WiFi,11.6
1/17/17,Edit WiFi,11.4
1/18/17,Edit WiFi,10.5
1/19/17,Edit WiFi,12.3
1/20/17,Edit WiFi,11.9
1/21/17,Edit WiFi,12.7
1/22/17,Edit WiFi,11.8
1/23/17,Edit WiFi,12.1
1/24/17,Edit WiFi,10.2
1/25/17,Edit WiFi,10.9
1/26/17,Edit WiFi,11.1
1/27/17,Edit WiFi,12.4
1/28/17,Edit WiFi,11.8
1/29/17,Edit WiFi,12.6
1/30/17,Edit WiFi,13
1/1/17,Restart Gateway,4.1
1/2/17,Restart Gateway,4.7
1/3/17,Restart Gateway,4
1/4/17,Restart Gateway,3.1
1/5/17,Restart Gateway,4.1
1/6/17,Restart Gateway,3.6
1/7/17,Restart Gateway,4.6
1/8/17,Restart Gateway,4.3
1/9/17,Restart Gateway,4.4
1/10/17,Restart Gateway,3.3
1/11/17,Restart Gateway,4.5
1/12/17,Restart Gateway,4.3
1/13/17,Restart Gateway,5
1/14/17,Restart Gateway,3.3
1/15/17,Restart Gateway,3.1
1/16/17,Restart Gateway,4
1/17/17,Restart Gateway,3.9
1/18/17,Restart Gateway,4.2
1/19/17,Restart Gateway,3
1/20/17,Restart Gateway,3.8
1/21/17,Restart Gateway,4.4
1/22/17,Restart Gateway,3.7
1/23/17,Restart Gateway,4.1
1/24/17,Restart Gateway,3.4
1/25/17,Restart Gateway,4.3
1/26/17,Restart Gateway,3.1
1/27/17,Restart Gateway,4.5
1/28/17,Restart Gateway,3.1
1/29/17,Restart Gateway,4.7
1/30/17,Restart Gateway,4
